time_utc,time_local,ve,vn,ve_windrift_i,vn_windrift_i,U_total,V_total
2022-03-04 04:00:00.000,2022-03-04 06:00:00.000,0.100474064518672,0.0353813916680945,0.109548527235909,-0.00574119503616177,0.210022591754581,0.0296401966319327
2022-03-04 04:10:00.000,2022-03-04 06:10:00.000,0.068516893104314,0.0602618625173518,0.135015525343999,-0.0311707901100367,0.203532418448313,0.0290910724073151
2022-03-04 04:20:00.000,2022-03-04 06:20:00.000,-0.0107608181985956,0.129436000014114,0.13563580871655,-0.0493673970734483,0.124874990517954,0.0800686029406653
2022-03-04 04:30:00.000,2022-03-04 06:30:00.000,0.0848536966105334,0.0748931176297109,0.123464090591431,-0.0629080962550199,0.208317787201965,0.011985021374691
2022-03-04 04:40:00.000,2022-03-04 06:40:00.000,0.116545923222378,0.127332939846936,0.130261478115654,-0.0526290533747764,0.246807401338032,0.0747038864721597
2022-03-04 04:50:00.000,2022-03-04 06:50:00.000,0.114864633576901,0.142538038880347,0.137276080358012,-0.0446037023299694,0.252140713934913,0.0979343365503779
2022-03-04 05:00:00.000,2022-03-04 07:00:00.000,0.136308631940649,0.146685145253006,0.129499162091897,-0.0371332871894834,0.265807794032545,0.109551858063522
2022-03-04 05:10:00.000,2022-03-04 07:10:00.000,0.128166960696568,0.145392849148954,0.129389878454666,-0.0298720071887851,0.257556839151234,0.115520841960169
2022-03-04 05:20:00.000,2022-03-04 07:20:00.000,0.156837595036211,0.128832947172348,0.129257609894678,-0.0204723942008558,0.286095204930889,0.108360552971492
2022-03-04 05:30:00.000,2022-03-04 07:30:00.000,0.146933175372715,0.141755471840113,0.126323911831468,-0.0132771781488152,0.273257087204184,0.128478293691297
2022-03-04 05:40:00.000,2022-03-04 07:40:00.000,0.0812521731863085,0.205740166805235,0.121227648371331,-0.00211603647341667,0.20247982155764,0.203624130331818
2022-03-04 05:50:00.000,2022-03-04 07:50:00.000,0.157341750183628,0.145874151937611,0.119030911882709,-0.00832345219068678,0.276372662066337,0.137550699746924
2022-03-04 06:00:00.000,2022-03-04 08:00:00.000,0.134912850981349,0.164908341196939,0.115191205047783,-0.00805495373292268,0.250104056029132,0.156853387464016
2022-03-04 06:10:00.000,2022-03-04 08:10:00.000,0.10944980043297,0.195241275093726,0.118432168325201,-0.0145416417845887,0.227881968758171,0.180699633309137
2022-03-04 06:20:00.000,2022-03-04 08:20:00.000,0.156541825822953,0.136893143662487,0.113350935350514,-0.0220331898544823,0.269892761173466,0.114859953808005
2022-03-04 06:30:00.000,2022-03-04 08:30:00.000,0.146323155486007,0.134781252830669,0.113396824881738,-0.0303845876513152,0.259719980367745,0.104396665179354
2022-03-04 06:40:00.000,2022-03-04 08:40:00.000,0.168848387185899,0.0936687479554603,0.114699257852823,-0.0328894829392567,0.283547645038722,0.0607792650162036
2022-03-04 06:50:00.000,2022-03-04 08:50:00.000,0.100978849259351,0.132744137393397,0.101008035905656,-0.0141957536778301,0.201986885165007,0.118548383715567
2022-03-04 07:00:00.000,2022-03-04 09:00:00.000,0.0967696736579848,0.142131560238693,0.109927596850533,-0.0193832012491918,0.206697270508518,0.122748358989501
2022-03-04 07:10:00.000,2022-03-04 09:10:00.000,0.134055992606066,0.120795102853748,0.10876250652711,-0.0251098031441962,0.242818499133176,0.0956852997095522
2022-03-04 07:20:00.000,2022-03-04 09:20:00.000,0.11686893678639,0.142378126108195,0.109927596850533,-0.0193832012491918,0.226796533636923,0.122994924859003
2022-03-04 07:30:00.000,2022-03-04 09:30:00.000,0.13272843054721,0.139992603494214,0.101261644007999,-0.0233780925825275,0.233990074555209,0.116614510911686
2022-03-04 07:40:00.000,2022-03-04 09:40:00.000,0.0831759220551695,0.147349059274272,0.115240117606356,-0.0224004096853904,0.198416039661525,0.124948649588881
2022-03-04 07:50:00.000,2022-03-04 09:50:00.000,0.111014331829356,0.10977126916325,0.111066653615089,-0.0236079460086185,0.222080985444445,0.0861633231546313
2022-03-04 08:00:00.000,2022-03-04 10:00:00.000,0.1186792739173,0.0940437896510476,0.101261644007999,-0.0233780925825275,0.219940917925299,0.0706656970685201
2022-03-04 08:10:00.000,2022-03-04 10:10:00.000,0.141660172344547,0.127176918438588,0.104572966188098,-0.026072968811066,0.246233138532645,0.101103949627522
2022-03-04 08:20:00.000,2022-03-04 10:20:00.000,0.153811507770425,0.0939782308272615,0.0820825752509599,-0.0331635130854756,0.235894083021385,0.0608147177417859
2022-03-04 08:30:00.000,2022-03-04 10:30:00.000,0.130188949641994,0.0649219212679705,0.07674598586181,-0.0357872409400173,0.206934935503805,0.0291346803279532
2022-03-04 08:40:00.000,2022-03-04 10:40:00.000,0.118888304693554,0.0618998545518869,0.0656464351321558,-0.036388413189361,0.18453473982571,0.0255114413625259
2022-03-04 08:50:00.000,2022-03-04 10:50:00.000,0.0883691351143118,0.0344444294897687,0.0718685711186341,-0.0275877597018286,0.160237706232946,0.00685666978794012
2022-03-04 09:00:00.000,2022-03-04 11:00:00.000,0.0805197789006665,0.025088684831505,0.0768746050004869,-0.0249780733047829,0.157394383901153,0.000110611526722121
2022-03-04 09:10:00.000,2022-03-04 11:10:00.000,0.087456334549012,0.0355267788219024,0.0862748119071997,-0.00754806798971136,0.173731146456212,0.0279787108321911
2022-03-04 09:20:00.000,2022-03-04 11:20:00.000,0.0579481862719477,0.0310801010248984,0.080228243059007,-0.0098507895960117,0.138176429330955,0.0212293114288867
2022-03-04 09:30:00.000,2022-03-04 11:30:00.000,0.0630046138800698,0.00854583161481435,0.08078150325649,-0.00282095225441678,0.14378611713656,0.00572487936039757
2022-03-04 09:40:00.000,2022-03-04 11:40:00.000,0.0534500615977637,0.0485433695245336,0.0923217180074171,-0.00322394543361918,0.145771779605181,0.0453194240909144
2022-03-04 09:50:00.000,2022-03-04 11:50:00.000,0.047506587727883,0.0380161115683147,0.0904396741817869,-0.0015786303849299,0.13794626190967,0.0364374811833848
