FileName,MeanUxEastward,MeanUyNorthward,Mean|U|adcp,angleADCP,Date,Time,MeanUxAGA,MeanUyAGA,Mean|U|aga,angleAGA,MeanUxGS,MeanUyGS,Mean|U|gs,angleGS
F1_DJI_0003,0.0362,0.3428,0.3447,83.97,20/02/2022,9:22:49,0.0641,0.2365,0.2455,74.83,-0.014,0.0045,0.0713,162.18
F1_DJI_0004,-0.005,0.3652,0.3652,90.78,20/02/2022,9:28:18,0.0862,0.2358,0.2523,69.91,-0.0307,0.0305,0.0921,135.19
F1_DJI_0005,-0.005,0.3652,0.3652,90.78,20/02/2022,9:29:14,0.1369,0.2269,0.2668,58.89,0.0241,0.0234,0.0593,44.15
F2_DJI_0002,0.0183,0.3491,0.3496,87,20/02/2022,9:46:06,0.0969,0.2568,0.2769,69.32,0.0535,0.4,0.2897,82.38
F2_DJI_0003,0.0183,0.3491,0.3496,87,20/02/2022,9:51:24,0.1321,0.2275,0.2646,59.85,0.0149,0.0074,0.1236,26.41
F2_DJI_0005,0.0608,0.3398,0.3452,79.85,20/02/2022,9:57:05,0.1246,0.2026,0.2433,58.4,0.1334,0.0044,0.2027,1.89
F3_DJI_0001,0.0359,0.3304,0.3323,83.8,20/02/2022,10:14:00,0.0845,0.2522,0.2666,71.47,0.0918,-0.0238,0.2597,-14.53
F3_DJI_0002,0.0732,0.3346,0.3425,77.66,20/02/2022,10:19:00,0.2285,0.21,0.317,42.58,0.2328,-0.0754,0.3247,-17.95
F3_DJI_0003,0.0732,0.3346,0.3425,77.66,20/02/2022,10:24:00,0.1496,0.2702,0.3095,60.97,0.2775,-0.0466,0.5005,-9.53
F4_DJI_0007,0.0663,0.3217,0.3284,78.35,20/02/2022,10:35:00,0.0729,0.1769,0.1928,67.61,0.0351,-0.0846,0.5241,-67.46
F4_DJI_0008,0.0743,0.3516,0.3593,78.06,20/02/2022,10:40:00,0.0969,0.2418,0.2625,68.16,0.3333,-0.1037,0.8244,-17.28
F4_DJI_0009,0.0743,0.3516,0.3593,78.06,20/02/2022,10:45:00,0.0816,0.2766,0.2877,73.563,0.1265,-0.0677,0.6984,-28.16
